name,current_team,role,active,avg,strike_rate,wickets,economy,recent_form,vs_opponent_avg,home_boost
Yuzvendra Chahal,PBKS,bowl,1,5.29,43.03,225,8.01,2,1,1
Bhuvneshwar Kumar,RCB,bowl,1,8.74,92.23,208,7.71,2,1,1
Sunil Narine,KKR,bowl,1,17.46,165.85,198,6.8,1.6,1,1
Piyush Chawla,MI,allrounder,0,13,107.59,192,7.98,1.6,1,1
Ravichandran Ashwin,CSK,allrounder,0,14.88,114.42,188,7.05,1.8,1,1
Jasprit Bumrah,MI,bowl,1,10.43,90.12,186,7.29,2.6,1,1
Vivrant Sharma,SRH,bat,0,69,140.82,0,10.57,69,1.41,1
Dwayne Bravo,CSK,allrounder,0,23.28,125.1,183,8.08,1.8,1,1
Vaibhav Suryavanshi,RR,bat,1,38.31,220.36,0,0,40,2.17,1
Amit Mishra,LSG,allrounder,0,17.32,86.59,174,7.3,1.2,1,1
Ravindra Jadeja,RR,allrounder,1,28.11,129.96,175,7.66,1.6,1,1
Lasith Malinga,MI,bowl,0,8.8,85.44,170,7.03,1.8,1,1
Rashid Khan,GT,bowl,1,14.16,159.42,164,7.11,1.4,1,1
Cooper Connolly,PBKS,bat,1,55.75,163.98,0,0,39.67,1.47,1
Heinrich Klaasen,SRH,bat,1,41,165.08,0,0,44.8,1.59,1
Harshal Patel,SRH,bowl,1,8.84,117.6,151,8.92,1.6,1,1
Sandeep Sharma,RR,bowl,1,10,80,151,8.12,1.4,1,1
David Warner,DC,bat,0,42.64,135.43,0,6,56.2,1.35,1
Harbhajan Singh,CSK,allrounder,0,17.35,130.97,150,7.04,1.2,1,1
Ayush Mhatre,CSK,bat,1,33.92,183.75,0,0,34.2,1.76,1
Sai Sudharsan,GT,bat,1,45.9,145.84,0,0,38.6,1.4,1
Trent Boult,MI,bowl,1,8.6,103.62,144,8.46,1.8,1,1
Umesh Yadav,GT,bowl,0,10.95,98.58,144,8.35,1.4,1,1
Rajat Patidar,RCB,bat,1,32.71,161.96,0,0,44.2,1.52,1
Jacob Bethell,RCB,bat,1,33.5,171.79,0,0,33.5,1.72,1
Priyansh Arya,PBKS,bat,1,31.18,196,0,0,26.6,1.85,1
Tim David,RCB,bat,1,36.39,177.84,0,18,26.8,1.67,1
Phil Salt,RCB,bat,1,34,174.48,0,0,29.6,1.7,1
Urvil Patel,CSK,bat,1,22.67,212.5,0,0,22.67,2,1
Kamran Akmal,RR,bat,0,42.67,164.1,0,0,22.6,1.64,1
Mohammad Shami,LSG,bowl,1,5.76,98,138,8.6,1.2,1,1
AB de Villiers,RCB,bat,0,44.66,148.58,0,0,29.8,1.49,1
Morne van Wyk,KKR,bat,0,55.67,123.7,0,0,33.4,1.24,1
Sameer Rizvi,DC,bat,1,30.91,145.93,0,0,44.8,1.4,1
Josh Inglis,LSG,bat,1,30.89,162.58,0,0,37.2,1.57,1
Yashasvi Jaiswal,RR,bat,1,35.66,152.85,0,0,36.8,1.49,1
Hashim Amla,KXIP,bat,0,48.08,138.04,0,0,31.2,1.38,1
Dhruv Jurel,RR,bat,1,29.69,157.12,0,0,35.2,1.53,1
Shubman Gill,GT,bat,1,40.11,139.47,0,0,35.8,1.35,1
Mohit Sharma,GT,bowl,0,9.62,89.29,134,8.59,2,1,1
Mukesh Choudhary,CSK,bowl,1,6,100,19,9.96,28.58,1.54,1
Steve Smith,RR,bat,0,36.69,124.81,0,15,45.4,1.25,1
Angkrish Raghuvanshi,KKR,bat,1,30.14,144.14,0,0,36.4,1.44,1
Axar Patel,DC,allrounder,1,21.37,133.68,133,7.36,1,1,1
Prabhsimran Singh,PBKS,bat,1,27.56,154.38,0,0,37,1.5,1
Ryan Rickelton,MI,bat,1,29.17,152.18,0,0,32.4,1.51,1
Praveer Veer,CSK,bat,0,49,136.11,0,0,24.5,1.36,1
Devon Conway,CSK,bat,0,43.2,136.02,0,0,28.6,1.36,1
KL Rahul,DC,bat,1,45.68,136.84,0,0,26.6,1.33,1
Jake Fraser-McGurk,DC,bat,0,27.5,189.66,0,0,10.8,1.9,1
Faf du Plessis,RCB,bat,0,38.49,132.4,0,16,34.4,1.32,1
Pathum Nissanka,DC,bat,1,25.6,150.59,0,0,31.75,1.48,1
Kagiso Rabada,GT,bowl,1,13.33,108.11,129,8.69,1.2,1,1
Kamindu Mendis,SRH,bat,1,23,133.34,0,0,20,1.82,1
Shaun Marsh,KXIP,bat,0,42.19,130.11,0,0,29.2,1.3,1
